Time,itemName,unitPrice
2025-02-05 18:48,에픽 소울 결정,7197016
2025-02-05 18:48,태초 소울 결정,77634757
2025-02-06 12:56,무색 큐브 조각,45
2025-02-06 12:56,모순의 결정체,46054
2025-02-06 12:56,레어 소울 결정,93324
2025-02-06 12:56,유니크 소울 결정,314822
2025-02-06 12:56,레전더리 소울 결정,1856633
2025-02-06 12:56,에픽 소울 결정,6557502
2025-02-06 12:56,태초 소울 결정,73123297
2025-02-07 09:04,무색 큐브 조각,48
2025-02-07 09:04,모순의 결정체,50219
2025-02-07 09:04,레어 소울 결정,106200
2025-02-07 09:04,유니크 소울 결정,258618
2025-02-07 09:04,레전더리 소울 결정,1766010
2025-02-07 09:04,에픽 소울 결정,5913807
2025-02-07 09:04,태초 소울 결정,63578438
2025-02-07 15:28,무색 큐브 조각,47
2025-02-07 15:28,모순의 결정체,49118
2025-02-07 15:28,레어 소울 결정,99276
2025-02-07 15:28,유니크 소울 결정,318123
2025-02-07 15:28,레전더리 소울 결정,1720885
2025-02-07 15:28,에픽 소울 결정,6219910
2025-02-07 15:28,태초 소울 결정,59388436
2025-02-09 20:01,무색 큐브 조각,46
2025-02-09 20:01,모순의 결정체,48196
2025-02-09 20:01,레어 소울 결정,97505
2025-02-09 20:01,유니크 소울 결정,287984
2025-02-09 20:01,레전더리 소울 결정,1698397
2025-02-09 20:01,에픽 소울 결정,5663159
2025-02-09 20:01,태초 소울 결정,57354267
2025-02-10 09:45,무색 큐브 조각,46
2025-02-10 09:45,모순의 결정체,47875
2025-02-10 09:45,레어 소울 결정,98456
2025-02-10 09:45,유니크 소울 결정,271912
2025-02-10 09:45,레전더리 소울 결정,1657603
2025-02-10 09:45,에픽 소울 결정,5426592
2025-02-10 09:45,태초 소울 결정,57467112
2025-02-11 08:56,무색 큐브 조각,48
2025-02-11 08:56,모순의 결정체,49613
2025-02-11 08:56,레어 소울 결정,108482
2025-02-11 08:56,유니크 소울 결정,299492
2025-02-11 08:56,레전더리 소울 결정,1692684
2025-02-11 08:56,에픽 소울 결정,5481843
2025-02-11 08:56,태초 소울 결정,63290118
2025-02-11 13:12,무색 큐브 조각,47
2025-02-11 13:12,모순의 결정체,49530
2025-02-11 13:12,레어 소울 결정,107022
2025-02-11 13:12,유니크 소울 결정,285789
2025-02-11 13:12,레전더리 소울 결정,1699573
2025-02-11 13:12,에픽 소울 결정,5484143
2025-02-11 13:12,태초 소울 결정,62816805
2025-02-11 17:23,무색 큐브 조각,48
2025-02-11 17:23,모순의 결정체,49470
2025-02-11 17:23,레어 소울 결정,101117
2025-02-11 17:23,유니크 소울 결정,295429
2025-02-11 17:23,레전더리 소울 결정,1693040
2025-02-11 17:23,에픽 소울 결정,5314702
2025-02-11 17:23,태초 소울 결정,61628797
2025-02-12 19:34,무색 큐브 조각,50
2025-02-12 19:34,모순의 결정체,52005
2025-02-12 19:34,레어 소울 결정,116975
2025-02-12 19:34,유니크 소울 결정,302097
2025-02-12 19:34,레전더리 소울 결정,1800811
2025-02-12 19:34,에픽 소울 결정,5745237
2025-02-12 19:34,태초 소울 결정,64943743
2025-02-13 13:27,무색 큐브 조각,50
2025-02-13 13:27,모순의 결정체,51257
2025-02-13 13:27,레어 소울 결정,76453
2025-02-13 13:27,유니크 소울 결정,295328
2025-02-13 13:27,레전더리 소울 결정,1410158
2025-02-13 13:27,에픽 소울 결정,4959853
2025-02-13 13:27,태초 소울 결정,61284767
2025-02-13 16:14,무색 큐브 조각,50
2025-02-13 16:14,모순의 결정체,51847
2025-02-13 16:14,레어 소울 결정,95682
2025-02-13 16:14,유니크 소울 결정,237785
2025-02-13 16:14,레전더리 소울 결정,1580563
2025-02-13 16:14,에픽 소울 결정,5173332
2025-02-13 16:14,태초 소울 결정,55366847
2025-02-14 10:17,무색 큐브 조각,52
2025-02-14 10:17,모순의 결정체,54486
2025-02-14 10:17,레어 소울 결정,79446
2025-02-14 10:17,유니크 소울 결정,296580
